:START_ID,:END_ID,:TYPE,cost:int
b,a,route,1
c,b,route,1
d,c,route,1
e,d,route,1
f,e,route,1
b,f,route,1
i,g,route,1
k,i,route,1
l,k,route,1
m,k,route,1
j,m,route,1
g,j,route,1
h,g,route,1
n,h,route,1
o,n,route,1
q,s,route,1
r,q,route,1
n,r,route,1
p,q,route,1
aa,z,route,1
q,ab,route,1
y,ab,route,1
v,l,route,1
w,v,route,1
t,m,route,1
u,t,route,1
u,al,route,1
ak,u,route,1
aj,ak,route,1
al,aj,route,1
af,aj,route,1
x,af,route,1
ad,x,route,1
z,ad,route,1
ac,ad,route,1
ae,af,route,1
ae,an,route,1
am,ae,route,1
ah,af,route,1
ai,ah,route,1
at,ay,route,1
as,at,route,1
av,at,route,1
au,av,route,1
aw,av,route,1
ax,aw,route,1
p,ax,route,1
ay,ax,route,1
au,as,route,1
az,ax,route,1
y,az,route,1
z,r,route,1
ag,x,route,1
bh,bq,route,1
bd,bg,route,1
bc,bd,route,1
am,bc,route,1
ao,am,route,1
ap,ao,route,1
ba,ap,route,1
ba,ar,route,1
aq,ap,route,1
bc,bb,route,1
bd,be,route,1
be,an,route,1
ah,an,route,1
bf,bg,route,1
br,bh,route,1
bi,br,route,1
bj,br,route,1
bm,bj,route,1
bk,bm,route,1
bn,bk,route,1
bo,bn,route,1
bp,bo,route,1
bq,bp,route,1
co,bk,route,1
bl,co,route,1
bm,bl,route,1
bv,bw,route,1
bu,bv,route,1
bt,bu,route,1
bs,bt,route,1
bi,bs,route,1
bz,ah,route,1
be,bz,route,1
by,bz,route,1
bx,by,route,1
bx,bg,route,1
bi,by,route,1
ab,aa,route,1
ca,bj,route,1
cb,ca,route,1
cc,cb,route,1
cd,cb,route,1
ce,br,route,1
cd,ce,route,1
ci,cj,route,1
ch,ci,route,1
cg,ch,route,1
cf,cg,route,1
ay,o,route,1
s,o,route,1
ad,ck,route,1
g,d,route,1
al,bw,route,1
cl,al,route,1
bf,cm,route,1
cn,bx,route,1
bh,cn,route,1
cm,cn,route,1
aa,cp,route,1
aq,cp,route,1
y,cp,route,1
bj,by,route,1
cf,bj,route,1
a,b,route,1
b,c,route,1
c,d,route,1
d,e,route,1
e,f,route,1
f,b,route,1
g,i,route,1
i,k,route,1
k,l,route,1
k,m,route,1
m,j,route,1
j,g,route,1
g,h,route,1
h,n,route,1
n,o,route,1
s,q,route,1
q,r,route,1
r,n,route,1
q,p,route,1
z,aa,route,1
ab,q,route,1
ab,y,route,1
l,v,route,1
v,w,route,1
m,t,route,1
t,u,route,1
al,u,route,1
u,ak,route,1
ak,aj,route,1
aj,al,route,1
aj,af,route,1
af,x,route,1
x,ad,route,1
ad,z,route,1
ad,ac,route,1
af,ae,route,1
an,ae,route,1
ae,am,route,1
af,ah,route,1
ah,ai,route,1
ay,at,route,1
at,as,route,1
at,av,route,1
av,au,route,1
av,aw,route,1
aw,ax,route,1
ax,p,route,1
ax,ay,route,1
as,au,route,1
ax,az,route,1
az,y,route,1
r,z,route,1
x,ag,route,1
bq,bh,route,1
bg,bd,route,1
bd,bc,route,1
bc,am,route,1
am,ao,route,1
ao,ap,route,1
ap,ba,route,1
ar,ba,route,1
ap,aq,route,1
bb,bc,route,1
be,bd,route,1
an,be,route,1
an,ah,route,1
bg,bf,route,1
bh,br,route,1
br,bi,route,1
br,bj,route,1
bj,bm,route,1
bm,bk,route,1
bk,bn,route,1
bn,bo,route,1
bo,bp,route,1
bp,bq,route,1
bk,co,route,1
co,bl,route,1
bl,bm,route,1
bw,bv,route,1
bv,bu,route,1
bu,bt,route,1
bt,bs,route,1
bs,bi,route,1
ah,bz,route,1
bz,be,route,1
bz,by,route,1
by,bx,route,1
bg,bx,route,1
by,bi,route,1
aa,ab,route,1
bj,ca,route,1
ca,cb,route,1
cb,cc,route,1
cb,cd,route,1
br,ce,route,1
ce,cd,route,1
cj,ci,route,1
ci,ch,route,1
ch,cg,route,1
cg,cf,route,1
o,ay,route,1
o,s,route,1
ck,ad,route,1
d,g,route,1
bw,al,route,1
al,cl,route,1
cm,bf,route,1
bx,cn,route,1
cn,bh,route,1
cn,cm,route,1
cp,aa,route,1
cp,aq,route,1
cp,y,route,1
by,bj,route,1
bj,cf,route,1
