folder_name,subject_code,subject_name,grade,class_code,class_room,semester,day_time,classification,credit
（共通）,G1821000,英会話Ａ,4年,再履１,Ｇ３５０４,前期,金Ⅱ,必修,1
（共通）,G1821000,英会話Ａ,2年・3年,再履２,Ｇ３５０４,前期,金Ⅱ,必修,1
（共通）,G1821000,英会話Ａ,4年,再履５,Ｇ３２０２,前期,水Ⅱ,必修,1
（共通）,G1821000,英会話Ａ,2年・3年,再履６,Ｇ３２０２,前期,水Ⅱ,必修,1
（共通）,G1821000,英会話Ａ,4年,再履７,Ｇ３５０４,後期,金Ⅱ,必修,1
（共通）,G1821000,英会話Ａ,2年・3年,再履８,Ｇ３５０４,後期,金Ⅱ,必修,1
（共通）,G1821000,英会話Ａ,4年,再履９,Ｇ３５０４,後期,金Ⅳ,必修,1
（共通）,G1821000,英会話Ａ,2年・3年,再履修A,Ｇ３５０４,後期,金Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,11,Ｇ３２０１,前期,金Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,12,Ｇ２５０５,前期,木Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,13,Ｇ２４０７,前期,木Ⅱ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,14,Ｇ３３０３,前期,木Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,15,Ｇ２５０７,前期,水Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,16,Ｇ２４０９,前期,水Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,17,自－２０３,前期,水Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,18,Ｇ３３０２,前期,金Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,19,Ｇ３５０４,前期,木Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,1A,Ｇ３３０２,前期,火Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,1B,Ｇ３３０２,前期,月Ⅱ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年,1D,Ｇ３２０３,前期,火Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,21,自－２０１,前期,水Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,22,Ｇ２５０５,前期,木Ⅱ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,23,Ｇ３２０２,前期,金Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,24,Ｇ３２０１,前期,火Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,25,Ｇ３３０３,前期,火Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,26,Ｇ３３０３,前期,金Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,27,Ｇ３２０３,前期,水Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,28,Ｇ２３１１,前期,木Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,2A,Ｇ２４０７,前期,木Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,2B,Ｇ２５０７,前期,木Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,2C,Ｇ３２０２,前期,水Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,2D,Ｇ２３０９（ＬＬ教室）,前期,月Ⅱ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,31,Ｇ３２０３,前期,火Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,32,Ｇ３２０１,前期,木Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,33,Ｇ２３１１,前期,木Ⅱ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,34,Ｇ３４０３,前期,水Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,35,自－２０２,前期,水Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,36,Ｇ３３０２,前期,火Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,37,Ｇ３２０３,前期,木Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,39,Ｇ３３０１,前期,金Ⅲ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,3A,Ｇ３３０２,前期,金Ⅱ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,3B,Ｇ３２０３,前期,木Ⅳ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,41,Ｇ２５０６,前期,火Ⅰ,必修,1
（共通）,G1827000,英語Ｃ：ＴＯＥＩＣ・視聴覚英語１,2年・3年・4年,42,１２－３０３,前期,火Ⅲ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,11,Ｇ３２０３,前期,木Ⅲ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,12,Ｇ２４０９,前期,水Ⅱ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,13,Ｇ２３０９（ＬＬ教室）,前期,月Ⅰ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,14,Ｇ３２０２,前期,金Ⅰ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,15,Ｇ２３０９（ＬＬ教室）,前期,金Ⅱ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,16,Ｇ２３０９（ＬＬ教室）,前期,月Ⅳ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,17,自－３０１,前期,水Ⅲ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,18,Ｇ３４０２,前期,木Ⅳ,必修,1
（共通）,G1828000,英語Ｅ：現代比較文化英語１,2年,19,Ｇ２４０８,前期,火Ⅱ,必修,1
