folder_name,subject_code,subject_name,grade,class_code,class_room,semester,day_time,classification,credit
経営学部,H0104000,キャリア・プランニング１,3年・4年,X1,１１－１０１,前期,金Ⅰ,必修,2
経営学部,H0105000,キャリア・プランニング２,3年・4年,X1,１１－１０１,後期,金Ⅱ,必修,2
経営学部,H0207000,知的財産権,2年・3年・4年,X1,１１－１０１,前期,火Ⅰ,選択,2
経営学部,H0207000,知的財産権,2年・3年・4年,再履１,Ｋ４０４,後期,火Ⅲ,選択,2
経営学部,H0208000,情報と職業,3年・4年,X1,Ｇ２５０５,後期,金Ⅰ,選択,2
経営学部,H1005000,卒業研究,4年,X1,,通年,時間外,必修,6
経営学部,H1006000,ビジネス英語１,3年・4年,11,Ｋ４０１,前期,火Ⅲ,必修,2
経営学部,H1006000,ビジネス英語１,3年・4年,21,Ｋ４０１,前期,火Ⅳ,必修,2
経営学部,H1007000,経営学概論１,1年・2年・3年・4年,X1,１１－１０１,前期,火Ⅲ,必修,2
経営学部,H1008000,コンピュータ概論１,1年・2年・3年・4年,X1,１２－２０２,前期,火Ⅱ,必修,2
経営学部,H1009000,財務管理論,2年・3年・4年,X1,１１－４０１,前期,水Ⅲ,必修,2
経営学部,H1010000,セミナー３,3年・4年,X1,,前期,水Ⅲ,必修,2
経営学部,H1011000,セミナー４,3年・4年,X1,１１－４０１,後期,水Ⅲ,必修,2
経営学部,H1012000,セミナー１,1年・2年・3年・4年,X1,１１－３０１,前期,月Ⅲ,必修,2
経営学部,H1013000,セミナー２,2年・3年・4年,X1,１１－４０１,前期,金Ⅱ,必修,2
経営学部,H1014000,データサイエンス基礎数学,1年・2年,X1,Ｇ３３０３,前期,月Ⅱ,必修,2
経営学部,H2009000,経営学概論２,1年・2年・3年・4年,X1,１１－１０１,後期,火Ⅲ,選択,2
経営学部,H2011000,経営戦略論,3年・4年,X1,Ｋ４０１,後期,木Ⅱ,選択,2
経営学部,H2011000,経営戦略論,3年・4年,Z9,Ｋ４０１,後期,木Ⅱ,選択,2
経営学部,H2012000,産業法規,3年・4年,X1,１１－１０１,後期,火Ⅰ,選択,2
経営学部,H2013000,コンピュータ会計,3年・4年,X1,１１－２０１,後期,金Ⅳ,選択,2
経営学部,H2014000,経営分析論,3年・4年,X1,Ｇ３４０２,前期,水Ⅳ,選択,2
経営学部,H2018000,マーケティングシミュレーション及び演習１,2年・3年・4年,X1,１１－２０１,前期,月Ⅲ・月Ⅳ,選択,3
経営学部,H2019000,マーケティングシミュレーション及び演習２,2年・3年・4年,X1,情教実習室Ｂ,後期,水Ⅲ・水Ⅳ,選択,3
経営学部,H2021000,ロジスティクス論,3年・4年,X1,１１－３０１,後期,火Ⅱ,選択,2
経営学部,H2025000,インターネット技術及び演習,3年・4年,X1,１１－１０１,前期,木Ⅲ・木Ⅳ,選択,3
経営学部,H2026000,ビジネス・シミュレーション及び演習,3年・4年,X1,１１－１０１,後期,木Ⅲ・木Ⅳ,選択,3
経営学部,H2027000,事例研究,4年,X1,１１－２０１,前期,月Ⅱ,選択,2
経営学部,H2029000,ビジネス英語２,3年・4年,11,Ｋ４０１,後期,火Ⅲ,選択,2
経営学部,H2029000,ビジネス英語２,3年・4年,21,Ｋ４０１,後期,火Ⅳ,選択,2
経営学部,H2030000,スポーツマネジメント論,1年・2年・3年・4年,X1,１１－２０１,後期,木Ⅲ,選択,2
経営学部,H2031000,スポーツ産業論,1年・2年・3年・4年,X1,１１－４０１,後期,火Ⅱ,選択,2
経営学部,H2032000,スポーツマーケティング,2年・3年・4年,X1,１１－４０１,前期,金Ⅰ,選択,2
経営学部,H2033000,スポーツクラブ経営論,2年・3年・4年,X1,１１－１０１,後期,火Ⅳ,選択,2
